120_at	ITGA1	29.8	12.3	11.5	21.7	2	17.3	18.9	13.6	11.5	1.3	12.5	18.5	8.8	13.7	18.9	14.3	12	13.5	18.5	31.8	21.8	
1211_s_at	CRADD	40.5	25.3	26.5	24.6	35.1	29.2	26.1	20.8	45.5	36.6	14.1	23.3	32	29.6	18.1	30.2	31.1	31.2	38.5	30.5	62.9	
1212_at	GSTZ1	84.7	56.1	89.2	40	54.2	44.7	37.7	62.2	52.7	18.7	38.3	44.4	51.9	61.2	43.2	57.2	15.4	32.3	38.1	19.8	83.3	
1221_at	RAB5B	45	26.9	31	28.5	57.3	6.4	14.7	43.1	30.7	7.9	7.6	31.9	23.3	24.4	38.3	41.1	24.3	12.9	14.7	76.3	7.9	
1222_at	CDK17	16	16.5	17	11.6	17.2	26	21.5	11.1	15.7	32.4	21.7	8.8	19.6	21.3	15.8	13	37.9	30.8	16.8	12	19	
1227_g_at	ADAM17	9	3.7	3.9	4.9	5.4	2.9	17.7	5.5	5.9	7.3	3.6	1.9	3.5	24.1	9.6	3.9	5.9	28.4	4.7	26.5	3.2	
1229_at	MTMR11	21.7	14.1	5.4	13.4	20.1	34.1	11.7	5	64.4	34.2	15.8	15.4	5.7	1.2	4.7	15.9	39.3	3.4	55.5	29.6	15.7	
1235_at	YWHAZ	2479.4	2372.4	2335.7	1505.9	2164.3	1696.6	2531.7	2383	1434.6	1979.4	2427.6	1951.5	2382.4	1816.3	2267.7	2069.3	1644	1937.4	1170.8	2167.1	1363.6	
1238_at	MAPK9	88.4	76.1	90.3	120.7	61.9	161.4	124.4	119.6	98.8	76.1	79.2	81.9	114	87.5	87.3	85.3	73.4	137	71.8	36.6	28.6	
1242_at	ERF	53.1	128.1	69.2	97.1	105.5	50.8	53.9	181.8	55.3	12.5	102.8	110.5	67.7	120.7	97.2	71.5	19.5	73	28.7	79.4	137.7	
1245_i_at	PAK2	27.1	22.4	20	22.8	48.4	32.2	26.7	24.7	5.3	13.1	22.1	21.1	26	22.7	17.7	17.7	51	21.5	31.1	23.2	20.2	
1247_g_at	PTPRS	5.1	5.3	5.6	2.9	7.1	2.7	2.8	9.4	6.7	4.4	10.2	7.2	6.5	1.9	4.4	2.9	10.9	3.1	4.8	3.6	5.6	
1248_at	POLR2H	258	181.9	169	218.7	165.8	226	204.7	200	169.1	299.8	173.5	115.4	185.6	263.2	158.7	234.7	115.4	264.6	121.4	146.1	146	
1249_at	GAB1	5.8	29.1	17.1	13.4	24.2	22.4	28.1	11.1	19.9	3.6	28.8	25.2	12	10.5	13.1	14	33.1	6.8	15.7	37.6	1.5	
1250_at	PRKDC	45.5	51.4	39.9	68.8	49.1	69.2	56.7	52.2	58.7	36.3	34.4	30.4	36.7	50.8	54	59.1	69.3	44.2	45.3	29.5	86.9	
1259_at	ZNF23	125.5	117.3	67.8	86.2	165.6	115.3	65.2	154.2	122.5	186.9	89	192.3	55.9	83	151.4	138.5	195.8	127	110.4	169.5	115.9	
1268_at	UBA1	558.6	713.4	625.9	548.5	748.5	909.7	711.2	813.8	662.1	945	862	720.7	650.4	828.6	994.1	553.3	611.4	1041.8	681.5	882.8	513.3	
126_s_at	SSX2B	1.1	5.6	0.5	1.9	5.4	1.1	0.4	0.9	9.9	12.3	0.9	12.2	0.5	0.7	3	0.5	1.2	10.2	0.7	1.1	1.7	
1272_at	EIF2S3	602.1	278.9	122.5	252.3	81.9	66.2	87.8	188.3	43.8	63	76.9	83.8	189.3	218.6	178.6	169.7	19.5	79.8	63.2	62.9	72.7	
1273_r_at	CDC34	36	92.6	122.8	79.6	117.9	83.3	48.8	114.3	58.9	132.5	67.5	78	65.9	63	90.6	46.6	91.9	47.8	141.7	97.7	108.1	
1278_at	AXL	3.4	10.4	2	1	2.1	2.2	0.8	6.3	0.8	5.2	3.4	7.4	1.7	1.4	3.2	2.2	4.9	13.2	3.6	4.3	2.8	
1280_i_at	MKNK2	106	146	152.3	98.6	159.1	100.3	111.1	114.6	92.4	115.2	96.9	240	145.3	99.3	144.3	117.2	319.2	155.1	145.9	160.3	149.3	
1281_f_at	MKNK2	1.2	13.1	5.8	4	12.7	1.3	2.1	16.8	15	4.3	3.8	12.1	3.8	19.5	11.2	15.1	5.2	4.3	6.7	2.6	7.4	
1290_g_at	GSTM5	10.6	15.9	14.6	15.1	13.7	9	7	48.4	13.2	15.7	11.6	21.8	9.7	8.3	33.1	12.1	32.1	35.1	17	15.5	14.8	
1304_at	AJ001487	12.5	25.5	22.5	14.7	14	19.3	4.4	11.4	25.3	16.7	13.6	30.6	2.5	24.6	18.9	14.9	15.9	4.4	21.4	2.5	18.5	
1305_s_at	CYP4F2	95.4	83.5	63.5	57.5	63.8	56	34.2	38.1	77.2	67.4	39.5	107.8	44.7	18.2	65	60.7	107.2	65.2	39.4	12.3	85.1	
